Feature,Feature Value,SHAP Value,Absolute Value,Category
cell_x_dl_tx_43,-1.0,0.0,0.0,cell_x_dl_tx
cell_x_ul_retx_43,-1.0,0.0,0.0,cell_x_ul_retx
cell_x_ul_tx_43,-1.0,0.0,0.0,cell_x_ul_tx
ul_total_bytes_non_incr_43,213700.0,0.0,0.0,ul_total_bytes_non_incr
dl_total_bytes_non_incr_43,3487259.0,0.0,0.0,dl_total_bytes_non_incr
dl_bitrate_44,2107451.0,0.0,0.0,dl_bitrate
ul_bitrate_44,860975.0,0.0,0.0,ul_bitrate
cell_x_dl_retx_44,-1.0,0.0,0.0,cell_x_dl_retx
cell_x_dl_tx_44,-1.0,0.0,0.0,cell_x_dl_tx
cell_x_ul_retx_44,-1.0,0.0,0.0,cell_x_ul_retx
cell_x_ul_tx_44,-1.0,0.0,0.0,cell_x_ul_tx
ul_total_bytes_non_incr_44,498729.0,0.0,0.0,ul_total_bytes_non_incr
dl_total_bytes_non_incr_44,1302332.0,0.0,0.0,dl_total_bytes_non_incr
dl_bitrate_45,1956275.0,0.0,0.0,dl_bitrate
ul_bitrate_45,759235.0,0.0,0.0,ul_bitrate
cell_x_dl_retx_45,-1.0,0.0,0.0,cell_x_dl_retx
cell_x_dl_tx_45,-1.0,0.0,0.0,cell_x_dl_tx
cell_x_ul_retx_45,-1.0,0.0,0.0,cell_x_ul_retx
cell_x_ul_tx_45,-1.0,0.0,0.0,cell_x_ul_tx
ul_total_bytes_non_incr_45,455582.0,0.0,0.0,ul_total_bytes_non_incr
dl_total_bytes_non_incr_45,1193283.0,0.0,0.0,dl_total_bytes_non_incr
dl_bitrate_46,1886370.0,0.0,0.0,dl_bitrate
ul_bitrate_46,756500.0,0.0,0.0,ul_bitrate
cell_x_dl_retx_46,-1.0,0.0,0.0,cell_x_dl_retx
cell_x_dl_tx_46,-1.0,0.0,0.0,cell_x_dl_tx
